"Hotels","Hotel ID","City","URL"
"Aguas Dulces El amarre Duplex","7981682","Aguas Dulces","https://www.booking.com/hotel/uy/aguas-dulces-el-amarre.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Aguas Dulces Hostel","9134342","Aguas Dulces","https://www.booking.com/hotel/uy/aguas-dulces-hostel-aguas-dulces.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Aguas Dulces Resort","1510971","Aguas Dulces","https://www.booking.com/hotel/uy/aguas-dulces-resort.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Aguaymanto","9388056","biarritz","https://www.booking.com/hotel/uy/agua-y-manto-biarritz.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Agüita de Coco","9517499","Barra del Chuy","https://www.booking.com/hotel/uy/aguita-de-coco.en.html?aid=2410095&no_rooms=1&group_adults=2"
"AHIVÁ Espacio Temporal","2097651","Montevideo","https://www.booking.com/hotel/uy/casa-magallanes.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Aires Puros","9413360","Faro Jose Ignacio","https://www.booking.com/hotel/uy/aires-puros.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Ajo Aloha Hostel","5906331","Cabo Polonio","https://www.booking.com/hotel/uy/el-ajo-aloha-cabo-polonio.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Aku Aku","11365393","Maldonado","https://www.booking.com/hotel/uy/aku-aku.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Al Nair Casa de playa RESERVA CON SEÑA","6810679","La Pedrera","https://www.booking.com/hotel/uy/al-nair-casa-de-playa.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Al Sur","6712353","La Paloma","https://www.booking.com/hotel/uy/al-sur-la-paloma.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Al Sur duplex","6672326","Piriápolis","https://www.booking.com/hotel/uy/al-sur-duplex.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alas del Mar","1440293","Punta Del Diablo","https://www.booking.com/hotel/uy/alas-del-mar.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alborada","7039560","Punta del Diablo","https://www.booking.com/hotel/uy/alborada.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alborada Dayman","2850075","Termas de Dayman","https://www.booking.com/hotel/uy/alborada-dayman.en.html?aid=2410095&no_rooms=1&group_adults=2"
"ALCA","11417588","Montevideo","https://www.booking.com/hotel/uy/alca.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Aldea La Nacha","11216265","Arenas de José Ignacio","https://www.booking.com/hotel/uy/aldea-la-nacha-arenas-de-jose-ignacio.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alexander Beach Punta del Este","1128831","Punta del Este","https://www.booking.com/hotel/uy/alexander-1102-punta-del-este.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alexander Boulevard","4518443","Punta del Este","https://www.booking.com/hotel/uy/alexander-boulevard-punta-del-este1234.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alexander Collection","2881791","Punta del Este","https://www.booking.com/hotel/uy/alexander-collection.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alfil - Arcobaleno","1943540","Punta del Este","https://www.booking.com/hotel/uy/alfil-arcobaleno.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alga","5425428","Punta del diablo","https://www.booking.com/hotel/uy/alga.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alicia","3059002","Punta del Este","https://www.booking.com/hotel/uy/alicia.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alma Corazón y Vida","11036612","valizas","https://www.booking.com/hotel/uy/alma-corazon-y-vida.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alma de La Pedrera - Villaggio & Spa","1640854","La Pedrera","https://www.booking.com/hotel/uy/alma-de-la-pedrera-villaggio-amp-spa.en.html?aid=2410095&no_rooms=1&group_adults=2"
